Tez No,Yazar,Yıl,Tez Adı,Üniversite,Dil,Tez Türü,Konu
856845,EROKAN CANBAZOĞLU,2024,Veri madenciliği teknikleri ile sağlık turizminde rezervasyon iptallerinin tahmini,Akdeniz Üniversitesi,Türkçe,Doktora,Ekonometri = Econometrics
857661,FERDİ KARAKÜTÜK,2024,Veri madenciliği algoritmaları ile aile yapısı araştırması verilerinin sınıflandırılması,Eskişehir Teknik Üniversitesi,Türkçe,Yüksek Lisans,İstatistik = Statistics
859522,MERYEM ERDOĞAN,2024,Havacılık endüstrisinde prognostik sağlık yönetimi ve veri madenciliği,Yıldız Teknik Üniversitesi,Türkçe,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control ; Havacılık ve Uzay Mühendisliği = Aeronautical Engineering ; Uçak Mühendisliği = Aeronautical Engineering
860372,BERRİN DEĞİRMENCİ,2024,Yurtta barınan öğrencilerin ayrılma sebeplerinin veri madenciliği yöntemleriyle analiz edilmesi,Gazi Üniversitesi,Türkçe,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
860955,ZELİHA ÇAĞLA KUYUMCU,2024,Sürücü kaynaklı trafik kazalarının veri madenciliği yaklaşımı ile modellenmesi: Sakarya örneği,Sakarya Üniversitesi,Türkçe,Doktora,Trafik = Traffic ; Ulaşım = Transportation ; İnşaat Mühendisliği = Civil Engineering
863390,AHMET KÜRŞAT AKICI,2024,Veri bilimi meslekleri ve uzmanlık alanları arasındakiilişkilerin veri madenciliği yaklaşımıyla analizi,Karamanoğlu Mehmetbey Üniversitesi,Türkçe,Yüksek Lisans,Yönetim Bilişim Sistemleri = Management Information Systems
863688,MEHMET EMİN ASAN,2024,Veri madenciliği ve makine öğrenmesi yaklaşımı ile tiroit kanserinin tanılanması,Sakarya Üniversitesi,Türkçe,Doktora,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
864613,NURİ ERGÜN TANRIÖVER,2024,Hava kalitesi ve meteorolojik etkiler arasındaki ilişkinin regresyon yaklaşımı ile modellemesinde veri madenciliği süreçlerinin kullanımı,Muğla Sıtkı Koçman Üniversitesi,Türkçe,Yüksek Lisans,Meteoroloji = Meteorology
864848,RABİA KARAHAN,2024,Veri madenciliği kapsamında; dijitalleşme yeni nesil teknolojiler ve finans üzerine etkileri,Gebze Teknik Üniversitesi,Türkçe,Yüksek Lisans,Bankacılık = Banking ; Bilim ve Teknoloji = Science and Technology ; İstatistik = Statistics
866818,SÜMEYYE GÜNDÜZ,2024,Veri madenciliği yöntemleri ile dokümantasyon süreçlerinin iyileştirilmesi: Havacılık sektöründe bir vaka çalışması,İstanbul Üniversitesi-Cerrahpaşa,Türkçe,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
869044,BÜŞRA POLAT,2024,Veri madenciliği yöntemleri ile müşteri memnuniyetinin değerlendirilmesi,Erciyes Üniversitesi,Türkçe,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
869634,ZAFER KARDEŞ,2024,Bağımsız denetim görüşlerinin tahmin edilmesinde veri madenciliği yöntemlerinin karşılaştırılması: Borsa İstanbul\'da bir uygulama,Afyon Kocatepe Üniversitesi,Türkçe,Doktora,İşletme = Business Administration
869819,GAMZE KÖSE,2024,Dental turistlerin memnuniyet durumlarının veri madenciliği ile tahmin edilmesi,Aydın Adnan Menderes Üniversitesi,Türkçe,Yüksek Lisans,Turizm = Tourism
870663,NESİBE MANAV MUTLU,2024,Kadın sporcular üzerine yapılmış bilimsel çalışmalara veri madenciliği ile bakış,Ankara Üniversitesi,Türkçe,Yüksek Lisans,Spor = Sports
